City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,Oriximina,-1.7656,-55.8661,27.15,70,86,1.82,BR,1702613781
336,Choyr,46.3611,108.3611,-22.8,91,100,4.35,MN,1702613781
337,San Justo,-30.7891,-60.5919,22.77,91,7,1.79,AR,1702613781
338,Geraldton,-28.7667,114.6,34.23,22,99,7.72,AU,1702613370
339,Jiuquan,39.7432,98.5174,-12.61,51,4,1.76,CN,1702613667
340,Kavieng,-2.5744,150.7967,28.62,77,84,3.07,PG,1702613685
341,Bellefonte,40.9134,-77.7783,3.14,52,0,4.12,US,1702613782
342,Rioja,-29.4111,-66.8507,27.92,69,4,0.43,AR,1702613782
343,Bedele,8.456,36.353,12.33,81,21,0.7,ET,1702613783
344,Sergeyevka,53.88,67.4158,-26.19,82,32,1.95,KZ,1702613783
345,Blenheim,-41.516,173.9528,27.17,35,92,8.43,NZ,1702613783
